shift_name,units_produced,defect_count,cycle_time_avg,shift_efficiency_score,experience_level,skill_category,runtime_hours,downtime_minutes,maintenance_flag,machine_status,maintenance_downtime,temperature,humidity,shift_duration,day_of_week_sin,day_of_week_cos,hour_of_day_sin,hour_of_day_cos
Morning,929,20,35.65,95.9452554837915,7,Expert,7.24,15.39,0,Operational,0.0,22.3,49.9,8.0,0.0,1.0,1.0,6.123233995736766e-17
Night,530,21,35.61,66.60473069837059,5,Intermediate,6.6,53.73,0,Issues,0.0,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,489,22,34.01,61.23852311708637,2,Junior,6.64,51.9,0,Issues,0.0,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,527,21,38.87,65.05983485900181,4,Intermediate,6.59,54.45,1,Issues,54.45,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,555,21,35.64,66.95388777384876,2,Intermediate,6.62,52.99,0,Issues,0.0,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,552,22,34.54,70.18280953166864,2,Intermediate,6.6,53.81,0,Issues,38.61,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,459,22,34.59,59.47881923711028,2,Junior,6.67,49.79,0,Issues,0.0,22.3,49.9,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Evening,664,25,33.68,86.08836083119373,2,Intermediate,7.1,24.11,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,613,23,37.31,79.44983248320634,3,Intermediate,6.84,39.5,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,597,19,37.43,72.67612182227032,3,Intermediate,6.95,33.02,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,594,19,34.84,75.96290526654123,3,Intermediate,6.85,39.03,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Night,555,21,35.64,66.95388777384876,2,Intermediate,6.62,52.99,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Evening,628,21,35.2,80.94867370326071,3,Intermediate,6.71,47.1,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Night,459,22,34.59,59.47881923711028,2,Junior,6.67,49.79,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,548,26,34.99,69.52045837365235,4,Intermediate,6.57,55.7,1,Issues,55.7,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,472,21,34.81,60.31402396315642,2,Junior,6.63,52.2,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,533,17,32.0,68.57666225270151,3,Intermediate,6.61,53.49,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,496,21,36.52,57.57701968743621,2,Intermediate,6.44,63.5,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,475,20,36.02,68.05639300412251,1,Junior,6.62,52.76,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,517,18,39.77,65.95625043898997,2,Intermediate,6.6,54.2,1,Issues,54.2,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,517,18,39.77,65.95625043898997,2,Intermediate,6.6,54.2,1,Issues,15.81,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,505,21,35.61,70.19189103696492,5,Intermediate,6.46,62.41,1,Issues,28.63,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,505,21,35.61,70.19189103696492,5,Intermediate,6.46,62.41,1,Issues,62.41,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,551,25,40.12,70.65706677182885,5,Intermediate,6.72,46.56,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Night,515,20,39.88,66.7726511721683,5,Intermediate,6.54,57.59,0,Issues,0.0,18.7,40.5,8.0,0.0,1.0,-0.5000000000000004,0.8660254037844384
Evening,649,24,33.65,81.77852267851239,3,Intermediate,7.01,29.44,0,Operational,17.83,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,625,17,32.0,78.6411858579871,3,Intermediate,6.81,41.11,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,617,19,36.59,84.16701546755789,3,Intermediate,6.77,43.56,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,639,24,35.91,80.49472886924639,4,Intermediate,6.83,40.11,1,Operational,40.11,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,627,23,37.08,83.27953968643953,2,Intermediate,6.84,39.49,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,637,26,34.94,82.45291999564571,4,Intermediate,6.81,41.58,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,644,27,37.16,81.60765100315413,3,Intermediate,6.88,37.36,0,Operational,0.0,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,596,17,35.71,71.23729325619732,2,Intermediate,6.87,37.88,1,Operational,37.88,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,600,24,34.83,77.07528232960651,4,Intermediate,6.88,37.41,1,Operational,37.41,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
Evening,635,24,37.6,82.5380043812019,4,Intermediate,6.9,35.74,1,Operational,15.34,18.7,40.5,8.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
